year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2018,VS,,,,,,.2997131931,2291.8067793,939.95214617,3232.0586387,11.968095238,.2997131931,2291.8067793,939.95214617,3232.0586387,11.968095238
2018,NE,,,,,,2.9277673546,1595.3153512,736.98571257,2335.2288311,4.609047619,2.9277673546,1595.3153512,736.98571257,2335.2288311,4.609047619
2018,GE,,1.7538461538,9.46875,11.222596154,,6.8104469405,2798.8892537,1306.3454096,4112.0451102,24.485714286,6.8104469405,2800.6430998,1315.8141596,4123.2677064,24.485714286
2018,JU,,,,,,,550.29098283,191.4952448,741.78622763,8.9619047619,,550.29098283,191.4952448,741.78622763,8.9619047619
2018,CH,.000923361,64.375132265,76.046832678,140.4228883,.4528571429,125.54868006,64488.956404,31698.197537,96312.702621,465.44428571,125.54960342,64553.331537,31774.244369,96453.125509,465.89714286
2019,ZH,,24.771915176,16.972904546,41.744819723,.1504761905,47.426153812,11985.005409,6153.3111129,18185.742676,75.82857142899989,47.426153812,12009.777324,6170.2840175,18227.487496,75.979047619
2019,BE,,,,,,12.265703163,9241.28597289999,4845.6527156,14099.204392,84.183809524,12.265703163,9241.28597289999,4845.6527156,14099.204392,84.183809524
2019,LU,,3.5581061693,9.593974175,13.152080344,.0938095238,1.7161172161,3328.186636,1760.6036388,5090.5063921,24.906190476,1.7161172161,3331.7447422,1770.197613,5103.6584724,25
2019,UR,,,,,,,347.83133823,168.23009229,516.0614305300001,1.0133333333,,347.83133823,168.23009229,516.0614305300001,1.0133333333
2019,SZ,,,,,,,1240.2902682,666.1434431500001,1906.4337114,5.6338095238,,1240.2902682,666.1434431500001,1906.4337114,5.6338095238
2019,OW,,,,,,,288.13699294,212.93661486,501.0736078,2.2047619048,,288.13699294,212.93661486,501.0736078,2.2047619048
2019,NW,,,,,,,310.66980928,166.75122921,477.42103849,4.8104761905,,310.66980928,166.75122921,477.42103849,4.8104761905
2019,GL,,,,,,,253.11373293,217.89268731,471.00642025,1.0952380952,,253.11373293,217.89268731,471.00642025,1.0952380952
2019,ZG,,,,,,.0320512821,687.85812533,415.14021396,1103.0303906,7.0004761905,.0320512821,687.85812533,415.14021396,1103.0303906,7.0004761905
2019,FR,,,,,,3.234656724,2386.3267604,865.73328152,3255.2946986,5.7342857143,3.234656724,2386.3267604,865.73328152,3255.2946986,5.7342857143
2019,SO,,,,,,,1994.4649752,1009.4756224,3003.9405977,17.275714286,,1994.4649752,1009.4756224,3003.9405977,17.275714286
2019,BS,,,,,,,2253.2357827,877.2242099,3130.4599926,6.4038095238,,2253.2357827,877.2242099,3130.4599926,6.4038095238
2019,BL,,,,,,,2156.6523338,1059.7229637,3216.3752975,24.561904762,,2156.6523338,1059.7229637,3216.3752975,24.561904762
2019,SH,,,,,,,802.97017639,422.92520318,1225.8953796,5.0395238095,,802.97017639,422.92520318,1225.8953796,5.0395238095
2019,AR,,,,,,,537.44029976,327.79923884,865.23953861,3.239047619,,537.44029976,327.79923884,865.23953861,3.239047619
2019,AI,,10.828922495,1.5179584121,12.346880907,,,117.11154715,54.187491143,171.29903829,1.730952381,,127.94046964,55.705449555,183.6459192,1.730952381
2019,SG,,18.797645981,6.6225328593,25.420178841,.1714285714,,3592.3776559,1879.5265462,5471.9042021,34.32047619,,3611.1753018,1886.1490791,5497.3243809,34.491904762
2019,GR,,,,,,1.75,1690.2338281,795.45474887,2487.4385769,10.164285714,1.75,1690.2338281,795.45474887,2487.4385769,10.164285714
2019,AG,,,,,,5.9275320814,4433.9126645,2127.9311747,6567.7713713,55.829047619,5.9275320814,4433.9126645,2127.9311747,6567.7713713,55.829047619
2019,TG,,,,,,,1929.3355408,939.54734289,2868.8828837,18.335714286,,1929.3355408,939.54734289,2868.8828837,18.335714286
2019,TI,,,,,,22.009134615,3789.3655678,1433.7852564,5245.1599588,13.537619048,22.009134615,3789.3655678,1433.7852564,5245.1599588,13.537619048
2019,VD,,32.249303757,39.631942027,71.881245784,.0428571429,16.016841332,5443.1530025,2558.8751242,8018.0449681,7.2728571429,16.016841332,5475.4023063,2598.5070663,8089.9262139,7.3157142857
2019,VS,,,,,,.2102849859,2405.5422378,973.36299752,3379.1155204,11.341904762,.2102849859,2405.5422378,973.36299752,3379.1155204,11.341904762
2019,NE,,,,,,6.5243798813,1592.2723322,746.66466861,2345.4613807,8.102380952400001,6.5243798813,1592.2723322,746.66466861,2345.4613807,8.102380952400001
2019,GE,,1.8980769231,9.8317307692,11.729807692,,5.6622349721,2889.9153629,1331.3142104,4226.8918082,22.299047619,5.6622349721,2891.8134398,1341.1459411,4238.6216159,22.299047619
2019,JU,,,,,,,568.40753578,205.928371,774.33590677,10.043809524,,568.40753578,205.928371,774.33590677,10.043809524
2019,CH,,92.103970503,84.171042789,176.27501329,.4585714286,122.77509006,66265.095889,32216.1202,98603.991178,461.90904762,122.77509006,66357.199859,32300.291242,98780.266192,462.36761905
2020,ZH,,1.9330316742,1.1954751131,3.1285067873,.1547619048,51.35501424,12254.605979,6173.8247897,18479.785783,47.304285714,51.35501424,12256.53901,6175.0202648,18482.914289,47.459047619
2020,BE,,,,,,7.7800518516,9423.9874812,4828.72163,14260.489163,57.14047619,7.7800518516,9423.9874812,4828.72163,14260.489163,57.14047619
2020,LU,,3.504,9.6381176471,13.142117647,.3266666667,2.5201969125,3410.7100775,1790.9382835,5204.168558,24.462857143,2.5201969125,3414.2140775,1800.5764012,5217.3106756,24.78952381
2020,UR,,,,,,,339.56219454,168.24225994,507.80445448,.7095238095,,339.56219454,168.24225994,507.80445448,.7095238095
2020,SZ,,,,,,,1276.0089236,692.46359369,1968.4725173,4.7447619048,,1276.0089236,692.46359369,1968.4725173,4.7447619048
2020,OW,,,,,,,290.64464589,215.03090442,505.67555031,1.2547619048,,290.64464589,215.03090442,505.67555031,1.2547619048
2020,NW,,,,,,,306.66432309,170.23664557,476.90096866,3.7952380952,,306.66432309,170.23664557,476.90096866,3.7952380952
2020,GL,,,,,,,261.28324176,224.36260573,485.64584749,.4761904762,,261.28324176,224.36260573,485.64584749,.4761904762
2020,ZG,,,,,,.0457875458,718.83934603,429.30564808,1148.1907816,5.6338095238,.0457875458,718.83934603,429.30564808,1148.1907816,5.6338095238
2020,FR,,,,,,3.1115696564,2458.7648841,897.86311649,3359.7395702,2.1147619048,3.1115696564,2458.7648841,897.86311649,3359.7395702,2.1147619048
2020,SO,,,,,,,2019.5641462,1036.7667121,3056.3308583,7.8547619048,,2019.5641462,1036.7667121,3056.3308583,7.8547619048
2020,BS,,,,,,.0781563126,2248.4251101,887.6737947300001,3136.1770612,2.4419047619,.0781563126,2248.4251101,887.6737947300001,3136.1770612,2.4419047619
